# 中国省级+地级市中心坐标表（城市坐标兜底用）
# 格式: 省\t城市\t纬度\t经度   （城市为空 = 省级兜底坐标）
# 坐标取主城区中心近似值，数据为公开常识性数据；精确度要求为城市级近似。
# 补充方法：追加一行即可，重启生效。

北京		39.9042	116.4074
北京	北京	39.9042	116.4074

天津		39.0851	117.1994
天津	天津	39.0851	117.1994

上海		31.2304	121.4737
上海	上海	31.2304	121.4737

重庆		29.5630	106.5516
重庆	重庆	29.5630	106.5516

河北		38.0428	114.5149
河北	石家庄	38.0428	114.5149
河北	唐山	39.6305	118.1802
河北	秦皇岛	39.9354	119.6005
河北	邯郸	36.6256	114.5391
河北	邢台	37.0706	114.5044
河北	保定	38.8740	115.4646
河北	张家口	40.7680	114.8863
河北	承德	40.9515	117.9634
河北	沧州	38.3037	116.8388
河北	廊坊	39.5377	116.6840
河北	衡水	37.7389	115.6702

山西		37.8565	112.5492
山西	太原	37.8565	112.5492
山西	大同	40.0768	113.3001
山西	阳泉	37.8565	113.5805
山西	长治	36.1956	113.1163
山西	晋城	35.4907	112.8518
山西	朔州	39.3316	112.4318
山西	晋中	37.6870	112.7527
山西	运城	35.0263	111.0070
山西	忻州	38.4167	112.7342
山西	临汾	36.0880	111.5190
山西	吕梁	37.5183	111.1420

内蒙古		40.8175	111.7652
内蒙古	呼和浩特	40.8175	111.7652
内蒙古	包头	40.6574	109.8403
内蒙古	乌海	39.6550	106.7942
内蒙古	赤峰	42.2577	118.8876
内蒙古	通辽	43.6529	122.2434
内蒙古	鄂尔多斯	39.6084	109.7813
内蒙古	呼伦贝尔	49.2116	119.7658
内蒙古	巴彦淖尔	40.7432	107.3876
内蒙古	乌兰察布	40.9944	113.1325
内蒙古	兴安盟	46.0823	122.0703
内蒙古	锡林郭勒盟	43.9332	116.0488
内蒙古	阿拉善盟	38.8515	105.7286

辽宁		41.8057	123.4315
辽宁	沈阳	41.8057	123.4315
辽宁	大连	38.9140	121.6147
辽宁	鞍山	41.1079	122.9944
辽宁	抚顺	41.8808	123.9572
辽宁	本溪	41.2944	123.7666
辽宁	丹东	40.1290	124.3831
辽宁	锦州	41.0951	121.1268
辽宁	营口	40.6670	122.2354
辽宁	阜新	42.0116	121.6702
辽宁	辽阳	41.2679	123.2369
辽宁	盘锦	41.1199	122.0708
辽宁	铁岭	42.2860	123.8420
辽宁	朝阳	41.5738	120.4512
辽宁	葫芦岛	40.7106	120.8369

吉林		43.8868	125.3250
吉林	长春	43.8868	125.3250
吉林	吉林	43.8379	126.5495
吉林	四平	43.1665	124.3504
吉林	辽源	42.9027	125.1436
吉林	通化	41.7284	125.9399
吉林	白山	41.9437	126.4240
吉林	松原	45.1414	124.8251
吉林	白城	45.6195	122.8390
吉林	延边	42.8913	129.5090

黑龙江		45.8038	126.5349
黑龙江	哈尔滨	45.8038	126.5349
黑龙江	齐齐哈尔	47.3543	123.9182
黑龙江	鸡西	45.2951	130.9693
黑龙江	鹤岗	47.3499	130.2978
黑龙江	双鸭山	46.6465	131.1591
黑龙江	大庆	46.5893	125.1038
黑龙江	伊春	47.7270	128.8411
黑龙江	佳木斯	46.7999	130.3189
黑龙江	七台河	45.7707	131.0031
黑龙江	牡丹江	44.5527	129.6332
黑龙江	黑河	50.2452	127.5286
黑龙江	绥化	46.6536	126.9689
黑龙江	大兴安岭	51.9226	124.5912

江苏		32.0603	118.7969
江苏	南京	32.0603	118.7969
江苏	无锡	31.4912	120.3119
江苏	徐州	34.2044	117.2858
江苏	常州	31.8107	119.9741
江苏	苏州	31.2989	120.5853
江苏	南通	31.9802	120.8943
江苏	连云港	34.5967	119.2216
江苏	淮安	33.6104	119.0153
江苏	盐城	33.3477	120.1637
江苏	扬州	32.3932	119.4127
江苏	镇江	32.1878	119.4258
江苏	泰州	32.4555	119.9230
江苏	宿迁	33.9632	118.2755

浙江		30.2741	120.1551
